original,canonical
a<f1>o,anyo
A<f1>o,anyo
Cód_x0020_CCAA_x0020__x0028_Todas_x0029_,ccaa_codigo
Desc_x0020_CCAA_x0020__x0028_Todas_x0029_,ccaa
Cód_x0020_Grupo_x0020_Finalidad,cod_finalidad_agrupada
Cod_finalidad_agrupada,cod_finalidad_agrupada
cod_finalidad agrupada,cod_finalidad_agrupada
FINALIDAD_x0020_agrupada_x0020_para_x0020_Anonimización,Finalidad_agrupada
Cód_x0020_Pertenencia_x0020_SNS,cod_depend_agrupada
Desc_x0020_Pertenencia_x0020_SNS,Depend_agrupada
Cód_x0020_Grupo_x0020_Finalidad_x0020__x0028_dejar_x0020_sólo_x0020_1_x0020_y_x0020_2_x0029_,cod_finalidad_agrupada
_x0036_0_totalCompra,G_totalCompra
_x0036_00_producFarma,600_producFarma
_x0036_00_1_FarmaAmb,600_1_FarmaAmb
_x0036_00_2_FarmaHosp,600_2_FarmaHosp
_x0036_01_materialSani,601_materialSani
_x0036_01_1_implantes,601_1_implantes
_x0036_01_2_restoMateriaSani,601_2_restoMateriaSani
_x0036_06_servContratado,606_servContratado
_x0036_07_trabajoContratado,607_trabajoContratado
_x0036_0X_restoCompras,60X_restoCompras
_x0036_1_variaExistencias,G_variaExistencias
_x0036_2_servExteriores,G_servExteriores
_x0036_28_sumistro,628_sumistro
_x0036_2X_restoServiExter,62X_restoServiExter
_x0036_4_gastoPersonal,G_gastoPersonal
_x0036_40_sueldos,640_sueldos
_x0036_41_indemnizacion,641_indemnizacion
_x0036_42_SegSocEmpresa,642_SegSocEmpresa
_x0036_43_649_OtrGasSocial,643_649_OtrGasSocial
_x0036_8_dotaAmortizacion,G_dotaAmortizacion
_x0036_9_perdidaDeterioro,G_perdidaDeterioro
_x0036_X_restoGasto,G_restoGasto
_x0037_0_tIngresos,I_totIngresosPS
_x0037_00_particular,I_particular
_x0037_01_AsegPriv,I_AsegPriv
_x0037_01_1_AsistSanitaria,I_AsistSanitaria
_x0037_01_2_AccTrafic,I_AccTrafic
_x0037_02_MATEPSS,I_MATEPSS
_x0037_04_SNS,I_SNS
_x0037_05_1_FdirectaSS,I_FdirectaSS
_x0037_05_2_FdirectaAPriv_MATEPSS,I_FdirectaAPriv_MATEPSS
_x0037_06_OyEntiPublica,I_OyEntiPublica
_x0037_08_bonificaciones,I_bonificaciones
_x0037_09_Otros_Ips,I_Otros_Ips
_x0037_4_Total_Subvencion,I_Total_Subvencion
_x0037_40_subvenciones,740_subvenciones
_x0037_41_otraSubvencion,741_otraSubvencion
_x0037_X_restoIngresos,I_restoIngresos
_x0037_0_Hospital,70_Hospital
_x0037_0_consulExter,70_consulExter
_x0037_0_CMA,70_CMA
_x0037_0_hospDia,70_hospDia
_x0037_0_Urgencia,70_Urgencia
_x0037_0_hospDom,70_hospDom
_x0037_00_Hospital,700_Hospital
_x0037_00_consulExter,700_consulExter
_x0037_00_CMA,700_CMA
_x0037_00_hospDia,700_hospDia
_x0037_00_Urgencia,700_Urgencia
_x0037_00_hospDom,700_hospDom
_x0037_01_Hospital,701_Hospital
_x0037_01_consulExter,701_consulExter
_x0037_01_CMA,701_CMA
_x0037_01_hospDia,701_hospDia
_x0037_01_Urgencia,701_Urgencia
_x0037_01_hospDom,701_hospDom
_x0037_01_1Hospital,701_1Hospital
_x0037_01_1consulExter,701_1consulExter
_x0037_01_1CMA,701_1CMA
_x0037_01_1hospDia,701_1hospDia
_x0037_01_1Urgencia,701_1Urgencia
_x0037_01_1hospDom,701_1hospDom
_x0037_01_2Hospital,701_2Hospital
_x0037_01_2consulExter,701_2consulExter
_x0037_01_2CMA,701_2CMA
_x0037_01_2hospDia,701_2hospDia
_x0037_01_2Urgencia,701_2Urgencia
_x0037_01_2hospDom,701_2hospDom
_x0037_02_Hospital,702_Hospital
_x0037_02_consulExter,702_consulExter
_x0037_02_CMA,702_CMA
_x0037_02_hospDia,702_hospDia
_x0037_02_Urgencia,702_Urgencia
_x0037_02_hospDom,702_hospDom
_x0037_04_Hospital,704_Hospital
_x0037_04_consulExter,704_consulExter
_x0037_04_CMA,704_CMA
_x0037_04_hospDia,704_hospDia
_x0037_04_Urgencia,704_Urgencia
_x0037_04_hospDom,704_hospDom
_x0037_05_1Hospital,705_1Hospital
_x0037_05_1consulExter,705_1consulExter
_x0037_05_1CMA,705_1CMA
_x0037_05_1hospDia,705_1hospDia
_x0037_05_1Urgencia,705_1Urgencia
_x0037_05_1hospDom,705_1hospDom
_x0037_05_2Hospital,705_2Hospital
_x0037_05_2consulExter,705_2consulExter
_x0037_05_2CMA,705_2CMA
_x0037_05_2hospDia,705_2hospDia
_x0037_05_2Urgencia,705_2Urgencia
_x0037_05_2hospDom,705_2hospDom
_x0037_06_Hospital,706_Hospital
_x0037_06_consulExter,706_consulExter
_x0037_06_CMA,706_CMA
_x0037_06_hospDia,706_hospDia
_x0037_06_Urgencia,706_Urgencia
_x0037_06_hospDom,706_hospDom
_x0037_08_Hospital,708_Hospital
_x0037_08_consulExter,708_consulExter
_x0037_08_CMA,708_CMA
_x0037_08_hospDia,708_hospDia
_x0037_08_Urgencia,708_Urgencia
_x0037_08_hospDom,708_hospDom
