module_id;var_a;clean_a;years_a;n_yrs_a;var_b;clean_b;years_b;n_yrs_b;overlap;similarity;proposed;priority
20;701_1consulExter;701_1consulExter;2014|2015;2;701_consulExter;701_consulExter;2014|2015;2;2;0.9875;701_1consulExter;mismo_periodo_NO_alias
20;701_2consulExter;701_2consulExter;2014|2015;2;701_consulExter;701_consulExter;2014|2015;2;2;0.9875;701_2consulExter;mismo_periodo_NO_alias
20;701_1Hospital;701_1Hospital;2014|2015;2;701_Hospital;701_Hospital;2014|2015;2;2;0.9846;701_1Hospital;mismo_periodo_NO_alias
20;701_1Urgencia;701_1Urgencia;2014|2015;2;701_Urgencia;701_Urgencia;2014|2015;2;2;0.9846;701_1Urgencia;mismo_periodo_NO_alias
20;701_2Hospital;701_2Hospital;2014|2015;2;701_Hospital;701_Hospital;2014|2015;2;2;0.9846;701_2Hospital;mismo_periodo_NO_alias
20;701_2Urgencia;701_2Urgencia;2014|2015;2;701_Urgencia;701_Urgencia;2014|2015;2;2;0.9846;701_2Urgencia;mismo_periodo_NO_alias
6;administrativos_cMujeres;administrativos_cMujeres;2014|2015;2;administrativos_pMujeres;administrativos_pMujeres;2014|2015;2;2;0.9833;administrativos_cMujeres;mismo_periodo_NO_alias
6;fisioterapeutas_cMujeres;fisioterapeutas_cMujeres;2014|2015;2;fisioterapeutas_pMujeres;fisioterapeutas_pMujeres;2014|2015;2;2;0.9833;fisioterapeutas_cMujeres;mismo_periodo_NO_alias
20;701_1hospDia;701_1hospDia;2014|2015;2;701_hospDia;701_hospDia;2014|2015;2;2;0.9833;701_1hospDia;mismo_periodo_NO_alias
20;701_1hospDom;701_1hospDom;2014|2015;2;701_hospDom;701_hospDom;2014|2015;2;2;0.9833;701_1hospDom;mismo_periodo_NO_alias
20;701_2hospDia;701_2hospDia;2014|2015;2;701_hospDia;701_hospDia;2014|2015;2;2;0.9833;701_2hospDia;mismo_periodo_NO_alias
20;701_2hospDom;701_2hospDom;2014|2015;2;701_hospDom;701_hospDom;2014|2015;2;2;0.9833;701_2hospDom;mismo_periodo_NO_alias
5;subQuirurgicas_cMujeres;subQuirurgicas_cMujeres;2014|2015;2;subQuirurgicas_pMujeres;subQuirurgicas_pMujeres;2014|2015;2;2;0.9826;subQuirurgicas_cMujeres;mismo_periodo_NO_alias
20;700_consulExter;700_consulExter;2014|2015;2;70_consulExter;70_consulExter;2014|2015;2;2;0.9822;700_consulExter;mismo_periodo_NO_alias
20;701_consulExter;701_consulExter;2014|2015;2;70_consulExter;70_consulExter;2014|2015;2;2;0.9822;701_consulExter;mismo_periodo_NO_alias
20;702_consulExter;702_consulExter;2014|2015;2;70_consulExter;70_consulExter;2014|2015;2;2;0.9822;702_consulExter;mismo_periodo_NO_alias
20;704_consulExter;704_consulExter;2014|2015;2;70_consulExter;70_consulExter;2014|2015;2;2;0.9822;704_consulExter;mismo_periodo_NO_alias
20;706_consulExter;706_consulExter;2014|2015;2;70_consulExter;70_consulExter;2014|2015;2;2;0.9822;706_consulExter;mismo_periodo_NO_alias
20;708_consulExter;708_consulExter;2014|2015;2;70_consulExter;70_consulExter;2014|2015;2;2;0.9822;708_consulExter;mismo_periodo_NO_alias
5;farmaceuticos_cMujeres;farmaceuticos_cMujeres;2014|2015;2;farmaceuticos_pMujeres;farmaceuticos_pMujeres;2014|2015;2;2;0.9818;farmaceuticos_cMujeres;mismo_periodo_NO_alias
5;oTituSuperior_cMujeres;oTituSuperior_cMujeres;2014|2015;2;oTituSuperior_pMujeres;oTituSuperior_pMujeres;2014|2015;2;2;0.9818;oTituSuperior_cMujeres;mismo_periodo_NO_alias
6;administrativos_cTotal;administrativos_cTotal;2014|2015;2;administrativos_pTotal;administrativos_pTotal;2014|2015;2;2;0.9818;administrativos_cTotal;mismo_periodo_NO_alias
6;fisioterapeutas_cTotal;fisioterapeutas_cTotal;2014|2015;2;fisioterapeutas_pTotal;fisioterapeutas_pTotal;2014|2015;2;2;0.9818;fisioterapeutas_cTotal;mismo_periodo_NO_alias
6;gSuperiorSani_cMujeres;gSuperiorSani_cMujeres;2014|2015;2;gSuperiorSani_pMujeres;gSuperiorSani_pMujeres;2014|2015;2;2;0.9818;gSuperiorSani_cMujeres;mismo_periodo_NO_alias
6;oDueEspeciali_cMujeres;oDueEspeciali_cMujeres;2014|2015;2;oDueEspeciali_pMujeres;oDueEspeciali_pMujeres;2014|2015;2;2;0.9818;oDueEspeciali_cMujeres;mismo_periodo_NO_alias
5;dermatologia_cMujeres;dermatologia_cMujeres;2014|2015;2;dermatologia_pMujeres;dermatologia_pMujeres;2014|2015;2;2;0.981;dermatologia_cMujeres;mismo_periodo_NO_alias
5;neurocirugia_cMujeres;neurocirugia_cMujeres;2014|2015;2;neurocirugia_pMujeres;neurocirugia_pMujeres;2014|2015;2;2;0.981;neurocirugia_cMujeres;mismo_periodo_NO_alias
