var_norm,n_years,first_year,last_year,years_present,example_name,status
600_producfarma,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,600_producFarma,completa
601_1_implantes,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,601_1_implantes,completa
601_2_restomateriasani,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,601_2_restoMateriaSani,completa
601_materialsani,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,601_materialSani,completa
606_servcontratado,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,606_servContratado,completa
607_trabajocontratado,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,607_trabajoContratado,completa
60x_restocompras,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,60X_restoCompras,completa
628_sumistro,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,628_sumistro,completa
62x_restoserviexter,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,62X_restoServiExter,completa
640_sueldos,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,640_sueldos,completa
641_indemnizacion,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,641_indemnizacion,completa
642_segsocempresa,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,642_SegSocEmpresa,completa
643_649_otrgassocial,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,643_649_OtrGasSocial,completa
700_cma,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,700_CMA,completa
700_consulexter,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,700_consulExter,completa
700_hospdia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,700_hospDia,completa
700_hospdom,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,700_hospDom,completa
700_hospital,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,700_Hospital,completa
700_urgencia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,700_Urgencia,completa
701_1cma,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,701_1CMA,completa
701_1consulexter,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,701_1consulExter,completa
701_1hospdia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,701_1hospDia,completa
701_1hospdom,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,701_1hospDom,completa
701_1hospital,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,701_1Hospital,completa
701_1urgencia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,701_1Urgencia,completa
701_2cma,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,701_2CMA,completa
701_2consulexter,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,701_2consulExter,completa
701_2hospdia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,701_2hospDia,completa
